Симптом1,Симптом2,Симптом3,Диагноза,Превенция
Треска,Гадене,Световъртеж,Настинка,Избягвайте алергени
Умора,Мускулни болки,Болки в гърдите,Мигрена,Избягвайте алергени
Умора,Обрив,Повръщане,Алергия,Избягвайте алергени
Кашлица,Мускулни болки,Световъртеж,Мигрена,Избягвайте алергени
Главоболие,Мускулни болки,Световъртеж,COVID-19,Ваксинирайте се
Кашлица,Обрив,Болки в гърдите,Мигрена,Избягвайте близък контакт с болни хора
Умора,Втрисане,Болки в ставите,Настинка,Пийте много течности
Главоболие,Затруднено дишане,Хрема,Настинка,Избягвайте близък контакт с болни хора
Болки в гърлото,Мускулни болки,Болки в ставите,Настинка,Пийте много течности
Умора,Гадене,Повръщане,Алергия,Използвайте лекарства без рецепта
Умора,Гадене,Болки в гърдите,COVID-19,Почивайте достатъчно
Умора,Мускулни болки,Световъртеж,Алергия,Използвайте лекарства без рецепта
Главоболие,Обрив,Хрема,Грип,Пийте много течности
Болки в гърлото,Затруднено дишане,Световъртеж,Грип,Носете маска
Болки в гърлото,Гадене,Хрема,COVID-19,Почивайте достатъчно
Треска,Втрисане,Хрема,Алергия,Ваксинирайте се
Умора,Гадене,Хрема,Алергия,Носете маска
Кашлица,Затруднено дишане,Световъртеж,Грип,Използвайте овлажнител
Умора,Обрив,Повръщане,COVID-19,Пийте много течности
Болки в гърлото,Мускулни болки,Болки в гърдите,Алергия,Използвайте овлажнител
Главоболие,Мускулни болки,Повръщане,Мигрена,Използвайте овлажнител
Умора,Мускулни болки,Световъртеж,Алергия,Пийте много течности
Треска,Гадене,Болки в гърдите,Грип,Практикувайте добра хигиена
Болки в гърлото,Мускулни болки,Световъртеж,COVID-19,Избягвайте алергени
Умора,Мускулни болки,Повръщане,Настинка,Избягвайте близък контакт с болни хора
Болки в гърлото,Обрив,Болки в ставите,COVID-19,Използвайте лекарства без рецепта
Болки в гърлото,Мускулни болки,Хрема,Алергия,Практикувайте добра хигиена
Кашлица,Гадене,Световъртеж,Мигрена,Ваксинирайте се
Умора,Гадене,Болки в ставите,Мигрена,Използвайте овлажнител
Умора,Втрисане,Болки в гърдите,COVID-19,Почивайте достатъчно
Умора,Обрив,Болки в гърдите,Мигрена,Избягвайте алергени
Главоболие,Гадене,Хрема,Грип,Практикувайте добра хигиена
Кашлица,Мускулни болки,Болки в ставите,Настинка,Пийте много течности
Болки в гърлото,Втрисане,Болки в гърдите,Алергия,Използвайте лекарства без рецепта
Умора,Втрисане,Болки в ставите,COVID-19,Почивайте достатъчно
Кашлица,Гадене,Хрема,Мигрена,Използвайте овлажнител
Треска,Затруднено дишане,Болки в ставите,COVID-19,Ваксинирайте се
Кашлица,Обрив,Хрема,COVID-19,Използвайте овлажнител
Болки в гърлото,Втрисане,Световъртеж,Грип,Практикувайте добра хигиена
Умора,Втрисане,Повръщане,Настинка,Носете маска
Кашлица,Мускулни болки,Хрема,Алергия,Пийте много течности
