Симптоми,Диагноза,Предотвратяване
"Затруднено преглъщане, Замаяност, Хрема",Менингит,"Ваксинация, Приемане на витамини"
"Задух, Главоболие, Болки в ставите",Настинка,"Поддържане на нормално тегло, Ваксинация"
"Загуба на апетит, Болка в гърлото, Стомашни болки",Псориазис,"Приемане на витамини, Избягване на алергени"
"Хрема, Болка в гърлото, Кожен обрив",Грип,"Поддържане на нормално тегло, Почивка и хидратация"
"Задух, Диария, Затруднено преглъщане",Псориазис,"Избягване на алергени, Редовни прегледи при лекар"
"Главоболие, Отпадналост, Безсъние",Синдром на раздразнените черва,"Редовни прегледи при лекар, Често миене на ръце"
"Затруднено преглъщане, Настинка, Повръщане",Пневмония,"Здравословен сън, Добро обличане през зимата"
"Загуба на апетит, Хрема, Стомашни болки",Грип,"Ваксинация, Избягване на тежка храна"
"Загуба на апетит, Сърцебиене, Стомашни болки",Хипертония,"Избягване на прекомерна употреба на алкохол, Поддържане на нормално тегло"
"Главоболие, Настинка, Болка в гърлото",Хранително отравяне,"Спиране на тютюнопушенето, Приемане на лекарства по предписание"
"Болки в мускулите, Безсъние, Замаяност",Менингит,"Здравословна диета, Почивка и хидратация"
"Диария, Повръщане, Треска",Хепатит,"Ваксинация, Често миене на ръце"
"Кожен обрив, Стомашни болки, Отпадналост",Грип,"Приемане на витамини, Редовни физически упражнения"
"Безсъние, Кожен обрив, Високо кръвно налягане",Депресия,"Често миене на ръце, Здравословна диета"
"Болки в ставите, Настинка, Високо кръвно налягане",Депресия,"Избягване на контакт със заразени лица, Ваксинация"
"Затруднено преглъщане, Кожен обрив, Замаяност",Пневмония,"Избягване на контакт със заразени лица, Редовно проветряване на помещенията"
"Кашлица, Високо кръвно налягане, Настинка",Менингит,"Поддържане на нормално тегло, Почивка и хидратация"
"Болки в мускулите, Треска, Диария",Мигрена,"Поддържане на нормално тегло, Избягване на контакт със заразени лица"
"Високо кръвно налягане, Главоболие, Кожен обрив",Диабет,"Почивка и хидратация, Избягване на стрес"
"Отпадналост, Задух, Главоболие",Сърдечна недостатъчност,"Често миене на ръце, Редовни прегледи при лекар"
"Стомашни болки, Повръщане, Болки в мускулите",Диабет,"Спиране на тютюнопушенето, Ваксинация"
"Настинка, Треска, Задух",Грип,"Избягване на стрес, Избягване на прекомерна физическа активност"
"Задух, Хрема, Настинка",Пневмония,"Здравословен сън, Почивка и хидратация"
"Безсъние, Кашлица, Треска",Артрит,"Здравословен сън, Избягване на контакт със заразени лица"
"Безсъние, Отпадналост, Болки в ставите",Артрит,"Редовни физически упражнения, Избягване на прекомерна употреба на алкохол"
"Високо кръвно налягане, Болки в ставите, Замаяност",Бронхит,"Редовни прегледи при лекар, Приемане на витамини"
"Хрема, Сърцебиене, Главоболие",Артрит,"Редовни физически упражнения, Често миене на ръце"
"Отпадналост, Задух, Сърцебиене",Хипертония,"Редовни физически упражнения, Здравословен сън"
"Стомашни болки, Болки в мускулите, Настинка",Артрит,"Избягване на стрес, Редовни прегледи при лекар"
"Болки в мускулите, Настинка, Загуба на апетит",Настинка,"Контрол на кръвната захар, Избягване на контакт със заразени лица"
"Замаяност, Отпадналост, Хрема",Сърдечна недостатъчност,"Избягване на алергени, Здравословен сън"
"Отпадналост, Кашлица, Високо кръвно налягане",Сърдечна недостатъчност,"Поддържане на нормално тегло, Спиране на тютюнопушенето"
"Главоболие, Загуба на апетит, Повръщане",Артрит,"Избягване на прекомерна употреба на алкохол, Избягване на тежка храна"
"Настинка, Главоболие, Болки в ставите",Грип,"Редовни физически упражнения, Приемане на лекарства по предписание"
"Загуба на апетит, Задух, Високо кръвно налягане",Пневмония,"Почивка и хидратация, Контрол на кръвната захар"
"Загуба на апетит, Диария, Болка в гърлото",Хипертония,"Ваксинация, Спиране на тютюнопушенето"
"Кашлица, Главоболие, Загуба на апетит",Гастрит,"Редовно проветряване на помещенията, Избягване на стрес"
"Повръщане, Болка в гърлото, Сърцебиене",Хепатит,"Спиране на тютюнопушенето, Избягване на алергени"
"Отпадналост, Болки в мускулите, Кожен обрив",Псориазис,"Избягване на контакт със заразени лица, Почивка и хидратация"
"Безсъние, Треска, Загуба на апетит",Анемия,"Избягване на стрес, Здравословен сън"
"Болки в мускулите, Замаяност, Главоболие",Гастрит,"Редовно проветряване на помещенията, Спиране на тютюнопушенето"
"Замаяност, Затруднено преглъщане, Хрема",Анемия,"Редовни физически упражнения, Здравословна диета"
"Диария, Повръщане, Треска",Синдром на раздразнените черва,"Избягване на контакт със заразени лица, Приемане на витамини"
"Затруднено преглъщане, Болка в гърлото, Стомашни болки",Бронхит,"Редовни физически упражнения, Често миене на ръце"
"Сърцебиене, Треска, Хрема",Псориазис,"Здравословен сън, Спиране на тютюнопушенето"
"Болка в гърлото, Кожен обрив, Загуба на апетит",Хранително отравяне,"Поддържане на нормално тегло, Избягване на прекомерна физическа активност"
"Главоболие, Диария, Кожен обрив",Сърдечна недостатъчност,"Редовни физически упражнения, Избягване на прекомерна физическа активност"
"Замаяност, Безсъние, Треска",Хепатит,"Избягване на контакт със заразени лица, Избягване на тежка храна"
"Сърцебиене, Загуба на апетит, Задух",Хранително отравяне,"Добро обличане през зимата, Често миене на ръце"
"Затруднено преглъщане, Кожен обрив, Диария",Хранително отравяне,"Приемане на лекарства по предписание, Избягване на стрес"
"Болка в гърлото, Високо кръвно налягане, Диария",Хипертония,"Поддържане на нормално тегло, Здравословна диета"
"Безсъние, Стомашни болки, Главоболие",Хипертония,"Избягване на алергени, Поддържане на нормално тегло"
"Хрема, Сърцебиене, Главоболие",Бронхит,"Избягване на контакт със заразени лица, Редовни физически упражнения"
"Болки в мускулите, Сърцебиене, Отпадналост",Бронхит,"Добро обличане през зимата, Избягване на стрес"
"Диария, Кожен обрив, Замаяност",Хранително отравяне,"Поддържане на нормално тегло, Избягване на прекомерна употреба на алкохол"
"Високо кръвно налягане, Болки в мускулите, Повръщане",Хепатит,"Избягване на тежка храна, Избягване на стрес"
"Болка в гърлото, Замаяност, Затруднено преглъщане",Псориазис,"Избягване на алергени, Избягване на прекомерна употреба на алкохол"
"Хрема, Болка в гърлото, Стомашни болки",Артрит,"Избягване на алергени, Контрол на кръвната захар"
"Болка в гърлото, Стомашни болки, Безсъние",Пневмония,"Редовно проветряване на помещенията, Ваксинация"
"Високо кръвно налягане, Кожен обрив, Безсъние",Инфаркт,"Избягване на стрес, Поддържане на нормално тегло"
"Болки в ставите, Безсъние, Затруднено преглъщане",Астма,"Добро обличане през зимата, Спиране на тютюнопушенето"
"Кожен обрив, Хрема, Кашлица",Бронхит,"Добро обличане през зимата, Избягване на прекомерна употреба на алкохол"
"Треска, Отпадналост, Хрема",Мигрена,"Редовно проветряване на помещенията, Редовни прегледи при лекар"
"Затруднено преглъщане, Сърцебиене, Диария",Хранително отравяне,"Спиране на тютюнопушенето, Добро обличане през зимата"
"Отпадналост, Кашлица, Главоболие",Алергия,"Редовно проветряване на помещенията, Здравословен сън"
"Треска, Болка в гърлото, Задух",Диабет,"Здравословен сън, Избягване на контакт със заразени лица"
"Повръщане, Болки в ставите, Сърцебиене",Гастрит,"Редовно проветряване на помещенията, Избягване на прекомерна физическа активност"
"Настинка, Болки в мускулите, Задух",Хранително отравяне,"Избягване на прекомерна употреба на алкохол, Често миене на ръце"
"Кожен обрив, Настинка, Стомашни болки",Анемия,"Избягване на прекомерна физическа активност, Редовно проветряване на помещенията"
"Кожен обрив, Кашлица, Стомашни болки",Хранително отравяне,"Приемане на лекарства по предписание, Контрол на кръвната захар"
"Високо кръвно налягане, Безсъние, Настинка",Диабет,"Избягване на прекомерна физическа активност, Избягване на алергени"
"Сърцебиене, Главоболие, Повръщане",Хипертония,"Поддържане на нормално тегло, Почивка и хидратация"
"Треска, Безсъние, Задух",Псориазис,"Избягване на алергени, Избягване на стрес"
"Треска, Затруднено преглъщане, Болка в гърлото",Синдром на раздразнените черва,"Избягване на тежка храна, Редовни прегледи при лекар"
"Повръщане, Сърцебиене, Треска",Хепатит,"Избягване на тежка храна, Контрол на кръвната захар"
"Безсъние, Настинка, Болка в гърлото",Депресия,"Спиране на тютюнопушенето, Контрол на кръвната захар"
"Болки в мускулите, Диария, Кожен обрив",Хипертония,"Редовни физически упражнения, Избягване на стрес"
"Кашлица, Затруднено преглъщане, Болки в ставите",Хранително отравяне,"Избягване на стрес, Поддържане на нормално тегло"
"Хрема, Високо кръвно налягане, Загуба на апетит",Пневмония,"Редовно проветряване на помещенията, Избягване на стрес"
"Задух, Затруднено преглъщане, Стомашни болки",Астма,"Редовни прегледи при лекар, Поддържане на нормално тегло"
"Сърцебиене, Повръщане, Кашлица",Анемия,"Спиране на тютюнопушенето, Редовни прегледи при лекар"
"Треска, Болки в мускулите, Повръщане",Настинка,"Редовни физически упражнения, Поддържане на нормално тегло"
"Треска, Отпадналост, Кашлица",Грип,"Често миене на ръце, Избягване на контакт със заразени лица"
"Стомашни болки, Кашлица, Болки в мускулите",Псориазис,"Контрол на кръвната захар, Избягване на стрес"
"Диария, Отпадналост, Главоболие",Синдром на раздразнените черва,"Здравословна диета, Спиране на тютюнопушенето"
"Хрема, Кожен обрив, Настинка",Сърдечна недостатъчност,"Избягване на тежка храна, Редовно проветряване на помещенията"
"Затруднено преглъщане, Хрема, Главоболие",Диабет,"Избягване на прекомерна физическа активност, Приемане на лекарства по предписание"
"Затруднено преглъщане, Сърцебиене, Болки в ставите",Артрит,"Избягване на прекомерна физическа активност, Спиране на тютюнопушенето"
"Затруднено преглъщане, Задух, Кожен обрив",Псориазис,"Редовно проветряване на помещенията, Контрол на кръвната захар"
"Загуба на апетит, Задух, Високо кръвно налягане",Анемия,"Често миене на ръце, Избягване на стрес"
"Главоболие, Кашлица, Сърцебиене",Пневмония,"Спиране на тютюнопушенето, Избягване на прекомерна употреба на алкохол"
"Главоболие, Замаяност, Задух",Менингит,"Приемане на лекарства по предписание, Избягване на прекомерна физическа активност"
"Болки в ставите, Сърцебиене, Болка в гърлото",Депресия,"Ваксинация, Контрол на кръвната захар"
"Загуба на апетит, Диария, Хрема",Псориазис,"Избягване на алергени, Здравословен сън"
"Повръщане, Кашлица, Диария",Менингит,"Ваксинация, Често миене на ръце"
"Болки в мускулите, Стомашни болки, Високо кръвно налягане",Диабет,"Избягване на алергени, Избягване на прекомерна физическа активност"
"Стомашни болки, Замаяност, Хрема",Грип,"Често миене на ръце, Редовни прегледи при лекар"
"Загуба на апетит, Болки в ставите, Кашлица",Хипертония,"Спиране на тютюнопушенето, Избягване на прекомерна употреба на алкохол"
"Стомашни болки, Болка в гърлото, Безсъние",Сърдечна недостатъчност,"Избягване на стрес, Почивка и хидратация"
"Хрема, Кашлица, Настинка",Артрит,"Избягване на контакт със заразени лица, Редовни прегледи при лекар"
"Отпадналост, Безсъние, Повръщане",Синдром на раздразнените черва,"Контрол на кръвната захар, Избягване на тежка храна"
"Стомашни болки, Болки в мускулите, Загуба на апетит",Пневмония,"Избягване на стрес, Поддържане на нормално тегло"
"Болки в ставите, Болка в гърлото, Кожен обрив",Бронхит,"Редовно проветряване на помещенията, Приемане на лекарства по предписание"
"Диария, Болки в ставите, Задух",Гастрит,"Избягване на прекомерна употреба на алкохол, Почивка и хидратация"
"Болки в ставите, Настинка, Болка в гърлото",Инфаркт,"Избягване на стрес, Контрол на кръвната захар"
